kardex_id,store_name,opslag_2025,avg_jatak_2025,seneste_opslag
4226,Superbrugsen Hovedkontor,1199,16.0,2025-11-22
1165,Kvickly Hovedkontor,905,13.1,2025-12-28
4425,Superbrugsen Hovedkontor,805,12.3,2025-09-25
5384,Superbrugsen Hovedkontor,675,14.3,2025-12-30
2600,Superbrugsen Hovedkontor,449,10.9,2025-12-29
5646,Superbrugsen Hovedkontor,418,12.2,2025-03-23
2835,Dagli'Brugsen,292,7.6,2025-08-31
4400,Kvickly Hovedkontor,264,14.1,2025-04-23
3910,Kvickly Hovedkontor,241,17.5,2025-04-02
2638,Dagli'Brugsen,197,7.1,2025-04-19
8365,Superbrugsen Hovedkontor,166,6.3,2025-12-12
4100,Dagli'Brugsen,165,7.5,2025-12-15
6401,Superbrugsen Hovedkontor,137,4.2,2025-06-10
7386,Superbrugsen Hovedkontor,134,11.9,2025-04-02
8650,Kvickly Hovedkontor,130,9.3,2025-11-26
6312,Dagli'Brugsen,103,4.3,2025-03-14
2608,Dagli'Brugsen,81,6.8,2025-05-20
7610,Brugseni Coop Grønland,68,11.7,2025-03-14
1960,Kvickly Hovedkontor,59,7.8,2025-11-27
7660,Brugseni Coop Grønland,59,30.9,2025-02-17
2381,Dagli'Brugsen,58,4.9,2025-12-08
24452,365discount,51,2.5,2025-05-23
3120,Superbrugsen Hovedkontor,48,23.6,2025-03-20
4453,Superbrugsen Hovedkontor,47,12.8,2025-03-26
2743,Dagli'Brugsen,45,5.8,2025-04-04
7690,Brugseni Coop Grønland,41,17.5,2025-02-17
24403,365discount,40,5.1,2025-08-15
8310,Superbrugsen Hovedkontor,31,14.6,2025-11-26
6130,Superbrugsen Hovedkontor,30,13.1,2025-03-13
2798,Dagli'Brugsen,27,5.2,2025-11-05
6002,Superbrugsen Hovedkontor,26,8.1,2025-11-05
3803,Kvickly Hovedkontor,25,17.7,2025-04-27
7650,Brugseni Coop Grønland,24,51.1,2025-01-15
4180,Superbrugsen Hovedkontor,21,10.6,2025-03-17
3538,Dagli'Brugsen,20,9.6,2025-07-12
5561,Dagli'Brugsen,20,10.7,2025-12-27
7630,Brugseni Coop Grønland,20,11.9,2025-02-06
2737,Dagli'Brugsen,19,6.5,2025-12-18
24217,365discount,18,8.9,2025-07-24
3300,Dagli'Brugsen,17,4.5,2025-11-18
7640,Brugseni Coop Grønland,17,26.4,2025-01-15
24005,365discount,14,27.6,2025-05-12
4514,Superbrugsen Hovedkontor,14,5.6,2025-01-13
1131,Superbrugsen Hovedkontor,13,6.8,2025-05-16
3821,Kvickly Hovedkontor,13,31.3,2025-02-12
4576,Dagli'Brugsen,13,5.2,2025-01-24
7680,Brugseni Coop Grønland,13,32.1,2025-02-03
1013,Superbrugsen Hovedkontor,12,5.8,2025-04-10
24822,365discount,12,2.4,2025-12-04
24802,365discount,11,34.5,2025-03-29
3398,Dagli'Brugsen,11,5.6,2025-08-08
8782,Superbrugsen Hovedkontor,11,5.2,2025-03-09
24481,365discount,9,4.6,2025-07-29
24491,365discount,9,3.2,2025-12-10
24899,365discount,9,12.7,2025-05-22
24211,365discount,8,3.4,2025-05-26
24825,365discount,7,14.7,2025-01-31
8037,Dagli'Brugsen,7,6.0,2025-11-07
1002,Superbrugsen Hovedkontor,6,5.5,2025-04-02
1095,Dagli'Brugsen,6,9.0,2025-02-07
1305,Superbrugsen Hovedkontor,6,1.5,2025-06-05
1850,Superbrugsen Hovedkontor,6,4.3,2025-04-04
24518,365discount,6,17.2,2025-01-10
5480,Dagli'Brugsen,6,8.3,2025-02-14
7604,Brugseni Coop Grønland,6,21.0,2025-02-18
1290,Dagli'Brugsen,5,4.4,2025-03-11
24105,365discount,5,6.2,2025-03-28
24150,365discount,5,9.2,2025-11-14
24276,365discount,5,3.6,2025-08-07
4154,Dagli'Brugsen,5,7.8,2025-01-19
24535,365discount,4,25.8,2025-02-10
4462,Dagli'Brugsen,4,2.3,2025-11-03
1135,Dagli'Brugsen,3,2.7,2025-05-14
1941,Superbrugsen Hovedkontor,3,1.7,2025-04-27
24041,365discount,3,1.0,2025-01-07
24476,365discount,3,7.3,2025-11-13
24559,365discount,3,31.7,2025-01-15
24867,365discount,3,1.7,2025-12-11
7134,Dagli'Brugsen,3,3.3,2025-02-15
9047,Dagli'Brugsen,3,1.3,2025-03-31
1610,Kvickly Hovedkontor,2,10.5,2025-11-01
1885,Dagli'Brugsen,2,1.5,2025-05-08
24216,365discount,2,2.0,2025-10-28
24363,365discount,2,4.5,2025-04-10
24462,365discount,2,9.5,2025-01-10
24484,365discount,2,60.0,2025-01-21
3329,Dagli'Brugsen,2,9.0,2025-06-18
7620,Brugseni Coop Grønland,2,40.5,2025-01-17
1175,Superbrugsen Hovedkontor,1,3.0,2025-05-30
1273,Dagli'Brugsen,1,13.0,2025-03-04
1760,Superbrugsen Hovedkontor,1,1.0,2025-12-29
24185,365discount,1,2.0,2025-03-05
24226,365discount,1,12.0,2025-04-24
24257,365discount,1,9.0,2025-01-31
24493,365discount,1,48.0,2025-02-03
24835,365discount,1,2.0,2025-02-28
24853,365discount,1,4.0,2025-01-19
3770,Kvickly Hovedkontor,1,69.0,2025-09-28
4162,Dagli'Brugsen,1,6.0,2025-01-29
4287,Dagli'Brugsen,1,3.0,2025-04-14
8345,Superbrugsen Hovedkontor,1,1.0,2025-04-28
